,id,NEcount,PER,ORG,LOC,EVT,PRO,UniqueCLIDs,dataset,lang,fpath
24,bg-1135,6,0,1,3,0,2,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1135.out
25,bg-1291,8,0,7,0,0,1,7,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1291.out
26,bg-1116,7,0,1,5,0,1,7,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1116.out
27,bg-1018,5,0,1,3,0,1,5,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1018.out
28,bg-1290,6,0,6,0,0,0,5,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1290.out
29,bg-1144,5,0,1,3,0,1,5,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1144.out
30,bg-2003,5,0,3,2,0,0,5,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_2003.out
31,bg-1059,8,3,2,1,0,2,7,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1059.out
32,bg-1039,6,0,2,3,0,1,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1039.out
33,bg-2006,5,0,1,4,0,0,5,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_2006.out
34,bg-1137,6,0,1,4,0,1,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1137.out
35,bg-1040,8,0,1,5,0,2,8,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1040.out
36,bg-1302,8,0,2,6,0,0,7,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1302.out
37,bg-1072,7,0,1,5,0,1,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1072.out
38,bg-1019,6,0,2,4,0,0,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1019.out
39,bg-1038,7,0,1,5,0,1,7,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1038.out
40,bg-1020,5,1,2,1,0,1,4,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1020.out
41,bg-1046,6,0,3,3,0,0,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1046.out
42,bg-1104,13,4,3,4,0,2,10,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1104.out
43,bg-1085,17,5,3,7,0,2,15,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1085.out
44,bg-2010,3,0,2,1,0,0,3,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_2010.out
45,bg-1280,6,0,2,2,0,2,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1280.out
46,bg-1128,10,5,2,3,0,0,10,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1128.out
47,bg-1126,6,1,1,4,0,0,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1126.out
48,bg-1257,4,0,1,3,0,0,4,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1257.out
49,bg-2002,14,0,12,1,0,1,12,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_2002.out
50,bg-2004,12,3,7,1,1,0,9,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_2004.out
51,bg-1095,3,0,1,2,0,0,3,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1095.out
52,bg-2005,19,2,13,3,1,0,14,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_2005.out
53,bg-1079,20,3,3,14,0,0,18,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1079.out
54,bg-142,11,2,3,6,0,0,10,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_142.out
55,bg-1262,8,0,3,5,0,0,8,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1262.out
56,bg-2001,12,0,5,7,0,0,9,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_2001.out
57,bg-1081,35,12,3,15,1,4,32,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1081.out
58,bg-1125,8,2,2,3,0,1,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1125.out
59,bg-1030,8,0,2,4,0,2,8,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1030.out
60,bg-1069,13,4,2,4,0,3,10,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1069.out
61,bg-1142,6,0,1,4,0,1,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1142.out
62,bg-1295,4,0,1,2,0,1,4,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1295.out
63,bg-708,8,3,1,2,0,2,7,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_708.out
64,bg-1078,20,6,2,8,0,4,16,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1078.out
65,bg-1105,7,1,1,4,0,1,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1105.out
66,bg-1298,2,0,1,1,0,0,2,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1298.out
67,bg-1029,6,0,1,4,0,1,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1029.out
68,bg-2007,10,2,3,3,0,2,7,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_2007.out
69,bg-1120,6,0,1,4,0,1,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1120.out
70,bg-1093,7,1,1,5,0,0,7,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1093.out
71,bg-699,4,0,2,2,0,0,4,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_699.out
72,bg-1092,5,1,2,1,0,1,4,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1092.out
73,bg-1063,6,4,1,1,0,0,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1063.out
74,bg-1065,17,5,2,8,0,2,15,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1065.out
75,bg-1143,9,3,1,4,0,1,8,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1143.out
76,bg-1292,2,1,1,0,0,0,2,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1292.out
77,bg-1076,14,3,5,5,0,1,12,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1076.out
78,bg-1281,6,0,2,2,0,2,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1281.out
79,bg-1080,9,5,1,3,0,0,8,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1080.out
80,bg-1103,7,2,1,3,0,1,7,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1103.out
81,bg-1110,7,0,1,5,0,1,7,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1110.out
82,bg-1082,16,4,2,8,0,2,15,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1082.out
83,bg-1264,4,0,1,3,0,0,4,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1264.out
84,bg-85,19,1,4,12,1,1,16,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_85.out
85,bg-1037,6,0,1,4,0,1,6,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1037.out
86,bg-1113,15,5,2,4,0,4,12,test,bg,./data/challenge/2019/test/annotated/ryanair/bg/ryan-BG.txt_file_1113.out
87,bg-1004,21,6,2,9,0,4,19,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1004.out
88,bg-486,20,3,4,9,0,4,17,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_486.out
89,bg-1671,14,0,2,9,0,3,14,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1671.out
90,bg-1738,11,3,1,5,0,2,10,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1738.out
91,bg-1582,16,1,9,5,0,1,16,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1582.out
92,bg-657,24,5,2,13,0,4,21,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_657.out
93,bg-1160,11,0,1,8,0,2,10,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1160.out
94,bg-673,13,2,1,7,0,3,11,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_673.out
95,bg-109,30,4,6,15,1,4,28,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_109.out
96,bg-1754,11,4,1,3,0,3,8,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1754.out
97,bg-1791,9,1,2,4,0,2,9,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1791.out
98,bg-646,15,0,5,8,0,2,15,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_646.out
99,bg-1200,20,4,2,11,0,3,19,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1200.out
100,bg-1012,10,2,1,4,0,3,8,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1012.out
101,bg-1199,22,5,2,11,0,4,19,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1199.out
102,bg-1755,21,4,2,9,0,6,16,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1755.out
103,bg-178,18,5,5,7,0,1,15,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_178.out
104,bg-579,9,2,2,4,0,1,7,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_579.out
105,bg-145,9,0,3,3,0,3,8,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_145.out
106,bg-1715,11,2,4,2,0,3,8,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1715.out
107,bg-870,25,5,5,9,0,6,24,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_870.out
108,bg-675,21,6,3,10,0,2,19,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_675.out
109,bg-1740,8,0,0,6,0,2,8,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1740.out
110,bg-584,18,5,2,8,0,3,15,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_584.out
111,bg-1757,5,1,1,1,0,2,4,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1757.out
112,bg-1153,25,0,6,17,0,2,24,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1153.out
113,bg-108,14,1,3,8,0,2,13,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_108.out
114,bg-1576,17,2,8,5,0,2,16,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1576.out
115,bg-48,12,0,2,9,0,1,12,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_48.out
116,bg-12,13,0,2,8,0,3,11,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_12.out
117,bg-2011,22,2,12,5,0,3,16,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_2011.out
118,bg-1753,13,3,2,7,0,1,12,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1753.out
119,bg-17,26,1,10,13,0,2,26,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_17.out
120,bg-471,15,2,3,9,0,1,14,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_471.out
121,bg-490,16,2,1,11,0,2,15,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_490.out
122,bg-111,18,0,8,7,0,3,18,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_111.out
123,bg-55,15,2,9,2,1,1,13,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_55.out
124,bg-669,22,3,6,10,0,3,19,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_669.out
125,bg-16,20,1,9,8,0,2,20,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_16.out
126,bg-1017,26,4,6,12,0,4,21,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1017.out
127,bg-1743,15,2,7,5,0,1,12,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1743.out
128,bg-2012,20,7,1,10,0,2,15,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_2012.out
129,bg-534,9,1,0,7,0,1,9,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_534.out
130,bg-152,20,1,8,8,0,3,18,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_152.out
131,bg-578,17,3,2,9,0,3,16,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_578.out
132,bg-1674,15,4,2,7,0,2,13,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1674.out
133,bg-113,34,8,9,15,0,2,30,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_113.out
134,bg-1145,11,0,1,7,0,3,10,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1145.out
135,bg-110,10,0,4,3,0,3,10,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_110.out
136,bg-1106,16,2,4,8,0,2,14,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1106.out
137,bg-1831,18,5,1,9,0,3,15,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1831.out
138,bg-533,14,4,7,2,0,1,11,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_533.out
139,bg-1008,17,2,3,8,0,4,15,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1008.out
140,bg-1568,17,0,8,7,0,2,16,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1568.out
141,bg-1569,11,0,2,6,0,3,10,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1569.out
142,bg-156,14,2,3,6,0,3,13,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_156.out
143,bg-1003,18,2,1,12,0,3,13,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1003.out
144,bg-1852,22,6,1,12,0,3,19,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1852.out
145,bg-678,18,2,9,4,0,3,14,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_678.out
146,bg-656,24,1,9,11,0,3,24,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_656.out
147,bg-754,23,6,5,10,0,2,21,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_754.out
148,bg-474,21,6,3,11,0,1,19,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_474.out
149,bg-606,18,6,4,6,0,2,17,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_606.out
150,bg-614,16,3,6,4,0,3,12,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_614.out
151,bg-112,23,2,13,5,0,3,22,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_112.out
152,bg-570,14,3,2,5,0,4,12,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_570.out
153,bg-1790,13,4,0,8,0,1,12,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1790.out
154,bg-115,9,0,3,4,0,2,9,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_115.out
155,bg-102,6,0,2,2,0,2,6,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_102.out
156,bg-527,13,2,1,8,0,2,11,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_527.out
157,bg-507,11,0,1,9,0,1,10,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_507.out
158,bg-65,12,1,8,0,0,3,12,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_65.out
159,bg-1210,26,8,1,12,0,5,23,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1210.out
160,bg-591,21,3,9,5,0,4,18,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_591.out
161,bg-54,29,1,12,11,1,4,27,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_54.out
162,bg-1834,16,3,8,3,0,2,14,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1834.out
163,bg-1801,17,3,3,8,0,3,16,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1801.out
164,bg-50,19,0,9,8,0,2,19,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_50.out
165,bg-1765,16,3,7,4,0,2,13,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1765.out
166,bg-160,4,1,1,1,0,1,4,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_160.out
167,bg-15,10,0,7,2,0,1,10,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_15.out
168,bg-1005,6,1,2,1,0,2,5,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1005.out
169,bg-119,60,16,14,23,1,6,51,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_119.out
170,bg-153,3,0,1,0,0,2,3,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_153.out
171,bg-5,8,0,4,2,0,2,7,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_5.out
172,bg-1760,18,4,4,8,0,2,16,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1760.out
173,bg-1809,16,1,4,6,0,5,14,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1809.out
174,bg-66,32,2,15,13,0,2,24,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_66.out
175,bg-1211,30,7,4,14,1,4,26,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1211.out
176,bg-505,6,1,0,4,0,1,5,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_505.out
177,bg-1206,32,6,11,13,0,2,28,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1206.out
178,bg-6,12,2,3,5,0,2,11,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_6.out
179,bg-665,17,5,4,5,0,3,12,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_665.out
180,bg-1006,8,0,1,4,0,3,7,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1006.out
181,bg-674,12,2,3,6,0,1,10,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_674.out
182,bg-525,16,5,3,4,0,4,14,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_525.out
183,bg-69,21,2,13,5,0,1,17,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_69.out
184,bg-2010,16,4,2,8,1,1,14,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_2010.out
185,bg-169,22,3,5,12,0,2,21,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_169.out
186,bg-1209,11,5,2,3,0,1,9,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1209.out
187,bg-1086,10,3,3,1,0,3,10,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1086.out
188,bg-1010,19,2,4,9,0,4,17,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1010.out
189,bg-104,13,0,3,7,0,3,13,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_104.out
190,bg-59,20,2,8,7,0,3,18,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_59.out
191,bg-1736,8,1,2,3,0,2,8,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1736.out
192,bg-1631,26,8,2,12,0,4,20,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1631.out
193,bg-1758,9,2,1,5,0,1,8,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1758.out
194,bg-114,28,6,8,12,0,2,25,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_114.out
195,bg-493,12,3,1,4,0,4,10,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_493.out
196,bg-1159,11,0,2,8,0,1,11,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_1159.out
197,bg-101,7,0,3,2,0,2,7,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_101.out
198,bg-60,24,0,12,9,0,3,23,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_60.out
199,bg-519,9,0,3,4,0,2,8,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_519.out
200,bg-684,14,1,4,7,0,2,12,test,bg,./data/challenge/2019/test/annotated/nord_stream/bg/nord_stream_bg.txt_file_684.out
