id,lang,created,url,title,contentLength,numWords,dataset
bg-1093,bg,2018-02-27,http://inews.bg/%d0%a1%d0%b2%d1%8f%d1%82/%d0%9d%d0%b0%d1%88%d0%b5%d0%bd%d1%86%d0%b8-%d1%81%d0%b0-%d0%b1%d0%bb%d0%be%d0%ba%d0%b8%d1%80%d0%b0%d0%bd%d0%b8-%d0%bd%d0%b0-%d0%bb%d0%b5%d1%82%d0%b8%d1%89%d0%b5-%d0%b2-%d0%a0%d1%83%d0%bc%d1%8a%d0%bd%d0%b8%d1%8f_l.a_c.371_i.586090.html,Нашенци са блокирани на летище в Румъния,661,111,test
bg-2009,bg,2008-02-05,https://www.mediapool.bg/karla-i-nikola-sarkozi-specheliha-deloto-sreshtu-aviokompaniya-raianear-news135956.html,"Карла и Никола Саркози спечелиха делото срещу авиокомпания ""Райънеър""",1102,160,test
bg-1120,bg,2018-02-04,http://www.banker.bg/obshtestvo-i-politika/read/samolet-ne-moja-da-kacne-na-letishte-sofiia,Самолет не можа да кацне на летище София,702,107,test
bg-1046,bg,2018-02-01,https://www.24chasa.bg/novini/article/6694682,"Автобус с пътници се блъсна с влекач на летището във Франкфурт, 14 ранени",503,81,test
bg-1038,bg,2018-02-04,https://nova.bg/news/view/2018/02/04/206061/%d0%b7%d0%b0%d1%80%d0%b0%d0%b4%d0%b8-%d0%b2%d1%8f%d1%82%d1%8a%d1%80%d0%b0-%d1%81%d0%b0%d0%bc%d0%be%d0%bb%d0%b5%d1%82-%d0%bd%d0%b5-%d0%bc%d0%be%d0%b6%d0%b0-%d0%b4%d0%b0-%d0%ba%d0%b0%d1%86%d0%bd%d0%b5-%d0%bd%d0%b0-%d0%bb%d0%b5%d1%82%d0%b8%d1%89%d0%b5-%d1%81%d0%be%d1%84%d0%b8%d1%8f/,ЗАРАДИ ВЯТЪРА: Самолет не можа да кацне на Летище София,754,116,test
bg-1299,bg,2018-09-20,https://www.bloombergtv.bg/novini/2018-09-20/prezidentat-na-ryanair-ostava-nachelo-na-kompaniyata,Президентът на Ryanair остава начело на компанията,1529,220,test
bg-1295,bg,2018-08-29,https://www.24chasa.bg/novini/article/7029966,Десетки пътници на &quot;Райънеър&quot; в София чакат полет за Атина с часове,756,124,test
bg-1063,bg,2018-02-28,http://www.plovdiv24.bg/news/777707.html,Пловдивчанин описа ужаса в Тимишоара (ВИДЕО),965,160,test
bg-1259,bg,2018-07-14,http://focus-news.net/./news/2018/07/14/2545289/izvestiya-33-dushi-sa-nastaneni-v-bolnitsa-sled-padane-na-nalyaganeto-v-salona-po-vreme-na-polet-mezhdu-dablin-i-zadar.html,Известия: 33 души са настанени в болница след падане на налягането в ...,692,99,test
bg-1262,bg,2018-07-14,https://www.24chasa.bg/novini/article/6961720,"10:55 Самолет кацна аварийно в Германия, на пътниците им прилошало, 33 са в болница",712,104,test
bg-1281,bg,2018-07-31,https://dnes.dir.bg/intsidenti/telefon-podpali-samolet-na-rayanear-patnitsite-slyazoha-panicheski,"Телефон подпали самолет на &quot;Райънеър&quot;, пътниците слязоха панически",507,72,test
bg-2001,bg,2019-04-02,https://www.mediapool.bg/raianear-vleze-v-top-10-na-zamarsitelite-v-evropa-news291727.html,"""Райънеър"" влезе в топ 10 на замърсителите в Европа Ирландският нискотарифен авиопревозвач ""Райънеър"" (Ryanair) влезе в топ 10 на най-големите замърсители на въздуха в Европа, заемайки десетото място и превръщайки се в единствената авиокомпания в непрестижната класация, съставена от въглищни централи, сред които и българската ТЕЦ ""Марица Изток 2"". Това информира ББС във вторник, цитирайки данни на независимата европейска неправителствена организация Транспорт и околна среда (Transport&Environment). Най-голям замърсител е ТЕЦ ""Белхатув"" в Полша, следвана от германските ""Нойрат"" и ""Ниедераусем"". Още пет немски топлоцентрали са в списъка, а българската ""Марица изток 2"" заема осмо място. Класацията се затваря от ""Райънеър"", която през 2018 г. е увеличила с 6.9 на сто изхвърляните при полетите ѝ въглеродни газове. Авиопревозвачът обаче заяви, че е ""най-зелената и най-чистата европейска авиокомпания"" и нейните пътници имат най-ниското ниво на въглеродни емисии на километър спрямо пътуващите с всеки друг превозвач. Миналата година ""Райънеър"" започна нова екологична политика, при която ще предлага на клиентите си възможността да компенсират въглеродния отпечатък на пътуването си. Замърсяването от авиационния сектор е нараснало с около две трети от 2005 г. и според прогнози ще продължи да се увеличава, тъй като полетите стават все по-достъпни, сочи още европейският доклад.",0,1,test
bg-1146,bg,2018-06-19,http://plovdivmedia.com/131377.html,Мълния удари самолет с пътници край Пловдив,752,125,test
bg-2011,bg,2011-11-03,https://www.mediapool.bg/plovdiv-obeshtal-da-plati-do-15-noemvri-poletite-na-raianear-news185915.html,Пловдив обещал да плати до 15 ноември полетите на “Райънеър”,1577,247,test
bg-1319,bg,2018-11-01,http://www.crimes.bg/krimi-2/311527-%d0%bf%d0%b0%d1%81%d0%b0%d0%b6%d0%b5%d1%80%d0%b8-%d0%b1%d0%b5%d1%81%d0%bd%d0%b8-%d0%bd%d0%b0-%e2%80%9c%d1%80%d0%b0%d0%b9%d1%8a%d0%bd%d0%b5%d1%80%e2%80%9d-%d0%b7%d0%b0%d1%80%d0%b0%d0%b4%d0%b8-%d0%bf%d0%b0%d1%80%d0%b8-%d0%b7%d0%b0-%d1%80%d1%8a%d1%87%d0%b5%d0%bd-%d0%b1%d0%b0%d0%b3%d0%b0%d0%b6.html,Пасажери бесни на “Райънер” заради пари за ръчен багаж,2942,458,test
bg-1091,bg,2018-03-06,http://www.dnesplus.bg/News.aspx?n=831220,"Пострадалите от ""Райънеър"" българи: Към италианци се отнесоха много по-добре",2580,378,test
bg-1082,bg,2018-02-27,http://btvnovinite.bg/article/bulgaria/pravitelstven-samolet-pribira-blokiranite-v-timishoara-balgari-ili-pone-povecheto-ot-tjah.html,Правителствен самолет прибира блокираните в Тимишоара българи… или поне повечето от тях,1313,208,test
bg-1037,bg,2018-02-04,https://www.dnes.bg/sofia/2018/02/04/buriata-nad-sofiia-nakara-pilot-na-kacne-v-bukuresht.367057,Бурята над София накара пилот на кацне в Букурещ,689,107,test
bg-142,bg,2018-08-23,https://www.mediapool.bg/zashto-raianear-preminava-prez-tolkova-mnogo-sotsialni-turbulentsii-news283119.html,Защо Райънеър преминава през толкова много социални турбуленции?,3112,449,test
bg-1291,bg,2018-08-24,http://www.dnesplus.bg/News.aspx?n=850582,Ръчният багаж в „Райънеър“ вече ще се плаща,1152,184,test
bg-707,bg,2018-09-28,http://www.crimes.bg/krimi-2/299735-%d0%bc%d1%8a%d0%b6-%d0%b3%d0%be%d0%bd%d0%b8%d0%bb-%d1%81%d0%b0%d0%bc%d0%be%d0%bb%d0%b5%d1%82-%d0%bf%d0%be-%d0%bf%d0%b8%d1%81%d1%82%d0%b0%d1%82%d0%b0-%d0%b7%d0%b0%d0%b3%d0%be%d0%bb%d0%b8-%d0%b7%d0%b0%d0%b4%d0%bd%d0%b8%d1%82%d0%b5-%d1%81%d0%b8-%d1%87%d0%b0%d1%81%d1%82%d0%b8-%d1%81%d0%bb%d0%b5%d0%b4-%d0%ba%d0%b0%d1%82%d0%be-%d0%b8%d0%b7%d0%bb%d0%b5%d0%b7%d0%b5-%d0%be%d1%82-%d1%81%d1%8a%d0%b4%d0%b0.html,"Мъж, гонил самолет по пистата, заголи задните си части, след като излезе от съда",1036,163,test
bg-1099,bg,2018-06-11,http://news.bnt.bg/bg/a/stotitsi-blgari-byakha-blokirani-s-chasove-na-letishcheto-v-berlin,Стотици българи бяха блокирани с часове на летището в Берлин,447,71,test
bg-1124,bg,2018-06-26,https://www.marica.bg/grym-udari-samolet-nad-letishte-plovdiv-100-dushi-v-kapan-Article-135853.html,"Гръм удари самолет над летище Пловдив, 100 души в капан",764,127,test
bg-1065,bg,2018-02-27,https://news.bg/politics/pravitelstveniyat-erbas-pribira-bedstvashtite-balgari-v-timishoara.html,Правителственият Ербъс прибира бедстващите българи в Тимишоара,1721,268,test
bg-1292,bg,2018-08-24,https://www.24chasa.bg/novini/article/7023172,Ръчният багаж в &quot;Райънеър&quot; вече ще се плаща,676,123,test
bg-1018,bg,2018-02-04,http://novini.dir.bg/news.php?id=26847637,Самолет не успя да кацне в София,389,60,test
bg-1137,bg,2018-02-04,http://inews.bg/%d0%91%d1%8a%d0%bb%d0%b3%d0%b0%d1%80%d0%b8%d1%8f/%d0%a3%d1%80%d0%b0%d0%b3%d0%b0%d0%bd%d0%bd%d0%b8%d1%8f%d1%82-%d0%b2%d1%8f%d1%82%d1%8a%d1%80-%d0%bd%d0%b5-%d0%bf%d0%be%d0%b7%d0%b2%d0%be%d0%bb%d0%b8-%d0%bd%d0%b0-%d1%81%d0%b0%d0%bc%d0%be%d0%bb%d0%b5%d1%82-%d0%b4%d0%b0-%d0%ba%d0%b0%d1%86%d0%bd%d0%b5-%d0%b2-%d0%a1%d0%be%d1%84%d0%b8%d1%8f_l.a_c.327_i.584283.html,Ураганният вятър не позволи на самолет да кацне в София,808,130,test
bg-1123,bg,2018-06-19,https://www.marica.bg/haosyt-na-letishte-plovdiv-e-pylen-snimki-Article-135887.html,Хаосът на летище Пловдив е пълен СНИМКИ,586,93,test
bg-1071,bg,2018-02-27,https://www.vesti.bg/bulgaria/borisov-prati-samolet-da-pribere-bedstvashtite-bylgari-6079757,Борисов прати самолет да прибере бедстващите българи,3316,550,test
bg-1125,bg,2018-06-20,https://www.marica.bg/pytnicite-na-letishteto-qdohme-soleti-i-bejk-rols-Article-135988.html,Пътниците на летището: Ядохме солети и бейк ролс,1455,228,test
bg-1080,bg,2018-02-27,http://www.bnews.bg/article/237741-boyko_zapokitil_samoleta_na_rayanear_v_rumaniya_zaradi_kefa_mu_desetki_balgari_se_okazaha_v_blokada_chasove_nared_bez_hrana_i_informatsiya,"Бойко запокитил самолета на ""Райънеър"" в Румъния! Заради кефа му десетки българи се оказаха в блокада часове наред без храна и информация!",308,53,test
bg-1280,bg,2018-07-31,http://news.bnt.bg/bg/a/samolet-se-zapali-na-letishcheto-v-barselona,Самолет се запали на летището в Барселона,545,76,test
bg-1036,bg,2018-01-03,https://www.dnevnik.bg/sviat/2018/01/03/3106602_neturpeliv_putnik_sleze_prez_avariiniia_izhod_na/?ref=rss,Нетърпелив пътник слезе през аварийния изход на самолет,660,107,test
bg-700,bg,2018-09-12,https://www.dnevnik.bg/na_put/2018/09/12/3308983_pilot_na_raiuneur_zapochva_proekt_za_nova_niskotarifna/?ref=rss,"Пилот на ""Райънеър"" започва проект за евтина трансатлантическа авиокомпания",825,130,test
bg-1076,bg,2018-02-28,https://www.novini.bg/news/470628-%d0%b4%d0%b8%d0%bc%d0%b8%d1%82%d1%8a%d1%80-%d0%bc%d0%b0%d1%80%d0%b3%d0%b0%d1%80%d0%b8%d1%82%d0%be%d0%b2-%d0%b0%d0%b2%d0%b8%d0%be%d0%ba%d0%be%d0%bc%d0%bf%d0%b0%d0%bd%d0%b8%d1%8f%d1%82%d0%b0-%d0%b4%d1%8a%d0%bb%d0%b6%d0%b8-%d0%bc%d0%b5%d0%b6%d0%b4%d1%83-250-%d0%b4%d0%be-600-%d0%b5%d0%b2%d1%80%d0%be-%d0%be%d0%b1%d0%b5%d0%b7%d1%89%d0%b5%d1%82%d0%b5%d0%bd%d0%b8%d0%b5-%d0%bd%d0%b0-%d0%b8%d0%b7%d0%be%d1%81%d1%82%d0%b0%d0%b2%d0%b5%d0%bd%d0%b8%d1%82%d0%b5-%d0%bf%d1%8a%d1%82%d0%bd%d0%b8%d1%86%d0%b8.html,Димитър Маргаритов: Авиокомпанията дължи между 250 до 600 евро обезщетение на изоставените пътници,1980,316,test
bg-1105,bg,2018-06-11,http://www.bulgaria-news.bg/category/world/europe/resume/post97048.html,ОТМЕНЕН ПОЛЕТ ЗА СОФИЯ БЛОКИРА 200 ПЪТНИЦИ НА...,443,69,test
bg-2006,bg,2019-03-27,https://www.mediapool.bg/raianear-shte-leti-po-liniyata-sofiya-kiev-news291500.html,"""Райънеър"" ще лети по линията София – Киев",565,84,test
bg-622,bg,2018-01-11,http://trip.dir.bg/news.php?id=26769958,Луфтханза изпревари Райънеър по превозени пътни,817,121,test
bg-1257,bg,2018-07-14,https://nova.bg/news/view/2018/07/14/221665/%d0%b8%d0%bd%d1%86%d0%b8%d0%b4%d0%b5%d0%bd%d1%82-%d1%81%d1%8a%d1%81-%d1%81%d0%b0%d0%bc%d0%be%d0%bb%d0%b5%d1%82-33-%d0%bc%d0%b0-%d0%bf%d1%8a%d1%82%d0%bd%d0%b8%d1%86%d0%b8-%d0%bf%d0%be%d1%81%d1%82%d1%80%d0%b0%d0%b4%d0%b0%d1%85%d0%b0-%d0%b7%d0%b0%d1%80%d0%b0%d0%b4%d0%b8-%d0%b7%d0%b0%d0%b3%d1%83%d0%b1%d0%b0-%d0%bd%d0%b0-%d0%bd%d0%b0%d0%bb%d1%8f%d0%b3%d0%b0%d0%bd%d0%b5-%d0%b2%d0%b8%d0%b4%d0%b5%d0%be/,ИНЦИДЕНТ СЪС САМОЛЕТ: 33-ма пътници пострадаха заради загуба на налягане (ВИДЕО),638,93,test
bg-1020,bg,2018-01-03,http://novini.dir.bg/news.php?id=26748163,Видео: Нетърпелив пътник слезе през аварийния изход на самолет,775,123,test
bg-85,bg,2018-02-05,http://www.mediapool.bg/raianear-otkriva-baza-v-burgas-i-puska-nov-polet-sofiya---akaba-news275143.html,"""Райънеър"" открива база в Бургас и пуска нов полет София - Акаба",5773,897,test
bg-1142,bg,2018-02-04,http://www.plovdiv24.bg/news/773353.html,"Самолет не успя да кацне в София заради силния вятър, отиде чак до Букурещ",548,86,test
bg-1064,bg,2018-02-27,http://www.plovdiv24.bg/news/777630.html,"Правителственият ""Ербъс"" прибира бедстващите пловдивчани",835,129,test
bg-2010,bg,2018-04-13,https://www.mediapool.bg/raianear-nabira-styuardi-za-evropeiskite-si-bazi-news277925.html,"""Райънеър"" набира стюарди за европейските си бази",1040,163,test
bg-1126,bg,2018-06-19,https://www.marica.bg/grym-udari-samolet-nad-letishte-plovdiv-100-dushi-v-kapan-Article-135853.html,"Пловдив Гръм удари самолет над летище Пловдив, 100 души в капан",861,145,test
bg-1135,bg,2018-02-04,https://www.actualno.com/society/samolet-ne-uspja-da-kacne-na-letishte-sofija-zaradi-burnija-vjatyr-news_657910.html,Самолет не успя да кацне на Летище София заради бурния вятър,1043,160,test
bg-638,bg,2018-04-12,http://novini.dir.bg/news.php?id=27040740,Ryanair спира вътрешните полети в Гърция,597,89,test
bg-1116,bg,2018-02-04,https://fakti.bg/bulgaria/283728-samolet-ne-uspa-da-kacne-v-sofia,Самолет не успя да кацне в София,708,108,test
bg-1059,bg,2018-02-27,https://www.24chasa.bg/novini/article/6737744,"08:56 Консулът ни в Букурещ за блокираните българи: Още нямаме връзка с ""Райънер""",1035,168,test
bg-1316,bg,2018-10-04,https://www.marica.bg/spirat-poletite-do-bergamo-i-sharleroa-Article-159210.html,Спират полетите до Бергамо и Шарлероа,3340,500,test
bg-2008,bg,2008-08-26,https://www.mediapool.bg/shestnadeset-postradali-pri-avariyno-katsane-na-samolet-na-rainear-news142847.html,Шестнадесет пострадали при аварийно кацане на самолет на “Райнеър”,563,75,test
bg-1069,bg,2018-05-08,https://www.vesti.bg/bulgaria/bylgarin-ot-rim-s-nashi-sredstva-uspiahme-da-si-kupim-bileti-6082040,Българин от Рим: С наши средства успяхме да си купим билети,1626,271,test
bg-1150,bg,2018-02-28,http://www.blagoevgrad24.bg/news/777711.html,Пловдивчанин описа ужаса в Тимишоара (ВИДЕО),1380,228,test
bg-1072,bg,2018-02-04,http://www.bnews.bg/article/236396-izvanredna_situatsiya_samolet_ne_mozha_da_katsne_na_letishte_sofiya_zaradi_silniya_vyatar,"ИЗВЪНРЕДНА СИТУАЦИЯ! Самолет не можа да кацне на Летище ""София"" заради силния вятър",503,78,test
bg-2002,bg,2019-01-05,https://news.bg/world/ryanair-otsenyavana-kato-nay-loshata-aviokompaniya-vav-velikobritaniya.html,Ryanair оценявана като най-лошата авиокомпания във Великобритания,1051,158,test
bg-1576,bg,2018-05-07,https://www.investor.bg/centralna-i-iztochna-evropa/335/a/gazprom-ne-izkliuchva-i-variant-za-severen-potok-3-260645/,"""Газпром"" не изключва и вариант за ""Северен поток"" 3",928,155,test
bg-1159,bg,2018-04-05,http://bnr.bg/post/100955398/finlandia-e-razreshi-ikonomicheskata-zona-da-bade-izpolzvana-za-izgrajdaneto-na-severen-potok-2,"Финландия разреши икономическата ѝ зона да бъде използвана за изграждането на ""Северен поток"" 2",1257,197,test
bg-1753,bg,2018-06-28,https://www.expert.bg/SASht-otnovo-se-obqviha-sreshtu-%22Severen-potok-2%22-682097.html,"САЩ отново се обявиха срещу ""Северен поток 2""",968,143,test
bg-584,bg,2018-02-16,http://www.dnesplus.bg/News.aspx?n=829194,"Меркел удари Полша и Украйна за Северен поток 2, не бил опасен за енергийната сигурност",993,142,test
bg-1149,bg,2018-03-28,http://novini.dir.bg/news.php?id=26999971,Германия одобри строежа на “Северен поток 2“,699,111,test
bg-1740,bg,2018-03-12,https://fakti.bg/world/290170-ofanziva-sreshtu-severen-potok-2,"Офанзива срещу ""Северен поток 2""",668,96,test
bg-471,bg,2018-04-12,https://www.actualno.com/europe/finlandija-odobri-severen-potok-2-news_669347.html,"Финландия одобри ""Северен поток 2""",1572,240,test
bg-1760,bg,2018-06-27,https://www.investor.bg/evropa/334/a/daniia-obmislia-iuridicheski-spynki-za-severen-potok-2-263672/,"Дания обмисля юридически спънки за ""Северен поток"" 2",1782,281,test
bg-1160,bg,2018-04-05,https://trud.bg/%d1%84%d0%b8%d0%bd%d0%bb%d0%b0%d0%bd%d0%b4%d0%b8%d1%8f-%d1%80%d0%b0%d0%b7%d1%80%d0%b5%d1%88%d0%b8-%d1%81%d0%b5%d0%b2%d0%b5%d1%80%d0%b5%d0%bd-%d0%bf%d0%be%d1%82%d0%be%d0%ba-2-%d0%b4%d0%b0-%d0%bc/,Финландия разреши “Северен поток-2” да мине през територията й,542,85,test
bg-474,bg,2018-05-17,https://news.bg/int-politics/sasht-se-glasyat-da-nalagat-sanktsii-zaradi-severen-potok-2.html,"САЩ се гласят да налагат санкции заради ""Северен поток 2""",2382,371,test
bg-1771,bg,2018-06-27,http://novini.dir.bg/news.php?id=27153537,"Дания иска да забави Северен поток 2,",623,90,test
bg-578,bg,2018-02-16,http://novini.dir.bg/news.php?id=26891612,Меркел удари Полша и Украйна за “Северен поток 2“,641,92,test
bg-18,bg,2018-02-14,https://www.investor.bg/evropa/334/a/germanskiiat-gazov-operator-predvijda-severen-potok-2-v-planovete-si-255794/,Германският газов оператор предвижда „Северен поток“ 2 в плановете си,1501,233,test
bg-66,bg,2018-06-18,https://www.mediapool.bg/kiev-kani-berlin-v-gazovata-si-mrezha-sreshtu-otkaz-ot-severen-potok-2-news280427.html,"Киев кани Берлин в газовата си мрежа срещу отказ от ""Северен поток 2""",2945,444,test
bg-1003,bg,2018-06-14,https://www.expert.bg/Ukrajna:-%22Severen-potok-2%22-shte-ima-neobratimi-posledici-za-Evropa-679658.html,"Украйна: ""Северен поток 2"" ще има необратими последици за Европа",1334,197,test
bg-684,bg,2018-05-12,http://bnr.bg/post/100970134/predstaviteli-na-finlandski-ekoorganizacii-objalvat-v-sada-razreshenieto-za-izgrajdane-na-gazoprovoda-severen-potok-2,"Представители на финландски екоорганизации обжалват в съда разрешението за изграждане на газопровода ""Северен поток - 2""",1297,193,test
bg-1738,bg,2018-04-13,https://fakti.bg/world/296529-nama-kak-severen-potok-2-da-bade-spran,"Няма как ""Северен поток 2"" да бъде спрян",725,108,test
bg-482,bg,2018-04-24,https://news.bg/int-economics/ot-gazprom-ne-izklyuchvat-izgrazhdane-i-na-severen-potok-3.html,"От ""Газпром"" не изключват изграждане и на ""Северен поток-3""",592,85,test
bg-145,bg,2018-01-31,http://novini.dir.bg/news.php?id=26834890,Германия разреши “Северен поток 2“,858,131,test
bg-579,bg,2018-01-27,https://frognews.bg/novini/sasht-podkrepiat-polsha-sreshtu-severen-potok-2.html,САЩ подкрепят Полша срещу ”Северен поток 2” 0 | 569 | 27.01.2018,647,101,test
bg-1765,bg,2018-06-26,http://novini.dir.bg/news.php?id=27152888,САЩ и ЕС в сблъсък заради „Северен поток 2“,825,118,test
bg-1743,bg,2018-06-26,https://fakti.bg/world/312518-sasht-i-es-v-sblasak-zaradi-severen-potok-2,САЩ и ЕС в сблъсък заради „Северен поток 2“,895,132,test
bg-652,bg,2018-05-17,http://bnr.bg/post/100972038,Тръмп иска Германия да оттегли подкрепата си за „Северен поток – 2“,736,122,test
