docId,sentenceId,tokenId,text,lemma,ner,clID
ryanair wiki,3,13,dzieci,,O,
ryanair wiki,3,14,.,,O,
ryanair wiki,4,1,Pierwsze,,O,
ryanair wiki,4,2,połączenie,,O,
ryanair wiki,4,3,z,,O,
ryanair wiki,4,4,irlandzkiego,,O,
ryanair wiki,4,5,miasta,,O,
ryanair wiki,4,6,Waterford,Waterford,B-LOC,GPE-Waterford
ryanair wiki,4,7,(,,O,
ryanair wiki,4,8,WAT,WAT,B-LOC,GPE-Waterford
ryanair wiki,4,9,),,O,
ryanair wiki,4,10,do,,O,
ryanair wiki,4,11,portu,port,B-LOC,LOC-Gatwick-Airport
ryanair wiki,4,12,lotniczego,lotniczy,I-LOC,LOC-Gatwick-Airport
ryanair wiki,4,13,Londyn,Londyn,I-LOC,LOC-Gatwick-Airport
ryanair wiki,4,14,-,-,I-LOC,LOC-Gatwick-Airport
ryanair wiki,4,15,Gatwick,Gatwick,I-LOC,LOC-Gatwick-Airport
ryanair wiki,4,16,(,,O,
ryanair wiki,4,17,LGW,LGW,B-LOC,LOC-Gatwick-Airport
ryanair wiki,4,18,),,O,
ryanair wiki,4,19,zostało,,O,
ryanair wiki,4,20,uruchomione,,O,
ryanair wiki,4,21,w,,O,
ryanair wiki,4,22,lipcu,,O,
ryanair wiki,4,23,1985,,O,
ryanair wiki,4,24,r,,O,
ryanair wiki,4,25,.,,O,
ryanair wiki,5,1,Obecnie,,O,
ryanair wiki,5,2,(,,O,
ryanair wiki,5,3,dane,,O,
ryanair wiki,5,4,za,,O,
ryanair wiki,5,5,rok,,O,
ryanair wiki,5,6,2012,,O,
ryanair wiki,5,7,),,O,
ryanair wiki,6,1,Ryanair,Ryanair,B-ORG,ORG-Ryanair
ryanair wiki,6,2,przewozi,,O,
ryanair wiki,6,3,około,,O,
ryanair wiki,6,4,80,,O,
ryanair wiki,6,5,mln,,O,
ryanair wiki,6,6,pasażerów,,O,
ryanair wiki,6,7,rocznie,,O,
ryanair wiki,6,8,w,,O,
ryanair wiki,6,9,25,,O,
ryanair wiki,6,10,krajach,,O,
ryanair wiki,6,11,Europy,Europa,B-LOC,LOC-Europe
ryanair wiki,6,12,oraz,,O,
ryanair wiki,6,13,Izraelu,Izrael,B-LOC,GPE-Israel
ryanair wiki,6,14,",",,O,
ryanair wiki,6,15,Cyprze,Cypr,B-LOC,GPE-Cyprus
ryanair wiki,6,16,i,,O,
ryanair wiki,6,17,Maroku,Maroko,B-LOC,GPE-Morocco
ryanair wiki,6,18,.,,O,
ryanair wiki,7,1,Linie,,O,
ryanair wiki,7,2,od,,O,
ryanair wiki,7,3,samego,,O,
ryanair wiki,7,4,początku,,O,
ryanair wiki,7,5,rozwijają,,O,
ryanair wiki,7,6,się,,O,
ryanair wiki,7,7,dynamicznie,,O,
ryanair wiki,7,8,.,,O,
ryanair wiki,8,1,W,,O,
ryanair wiki,8,2,1985,,O,
ryanair wiki,8,3,r,,O,
ryanair wiki,8,4,.,,O,
ryanair wiki,8,5,przewiozły,,O,
ryanair wiki,8,6,5,,O,
ryanair wiki,8,7,tys,,O,
ryanair wiki,8,8,.,,O,
ryanair wiki,8,9,pasażerów,,O,
ryanair wiki,8,10,",",,O,
ryanair wiki,8,11,w,,O,
ryanair wiki,8,12,1986,,O,
ryanair wiki,8,13,r,,O,
ryanair wiki,8,14,.,,O,
ryanair wiki,8,15,–,,O,
ryanair wiki,8,16,82,,O,
ryanair wiki,8,17,tys,,O,
ryanair wiki,8,18,.,,O,
ryanair wiki,8,19,pasażerów,,O,
ryanair wiki,8,20,",",,O,
ryanair wiki,8,21,w,,O,
ryanair wiki,8,22,2005,,O,
ryanair wiki,8,23,–,,O,
ryanair wiki,8,24,"27,6",,O,
ryanair wiki,8,25,mln,,O,
ryanair wiki,8,26,pasażerów,,O,
ryanair wiki,8,27,",",,O,
ryanair wiki,8,28,w,,O,
ryanair wiki,8,29,2012,,O,
ryanair wiki,8,30,–,,O,
ryanair wiki,8,31,"79,6",,O,
ryanair wiki,8,32,mln,,O,
ryanair wiki,8,33,pasażerów,,O,
ryanair wiki,8,34,",",,O,
ryanair wiki,8,35,a,,O,
ryanair wiki,8,36,w,,O,
ryanair wiki,8,37,2014,,O,
ryanair wiki,8,38,-,,O,
ryanair wiki,8,39,"90,6",,O,
ryanair wiki,8,40,mln,,O,
ryanair wiki,8,41,pasażerów,,O,
ryanair wiki,8,42,.,,O,
ryanair wiki,9,1,W,,O,
ryanair wiki,9,2,Polsce,Polska,B-LOC,GPE-Poland
ryanair wiki,9,3,Ryanair,Ryanair,B-ORG,ORG-Ryanair
ryanair wiki,9,4,obecny,,O,
ryanair wiki,9,5,jest,,O,
ryanair wiki,9,6,od,,O,
ryanair wiki,9,7,marca,,O,
ryanair wiki,9,8,2005,,O,
ryanair wiki,9,9,r,,O,
ryanair wiki,9,10,.,,O,
ryanair wiki,10,1,Pierwszy,,O,
ryanair wiki,10,2,lot,,O,
ryanair wiki,10,3,odbył,,O,
ryanair wiki,10,4,się,,O,
ryanair wiki,10,5,24,,O,
ryanair wiki,10,6,marca,,O,
ryanair wiki,10,7,2005,,O,
ryanair wiki,10,8,r,,O,
ryanair wiki,10,9,.,,O,
ryanair wiki,10,10,z,,O,
ryanair wiki,10,11,wrocławskiego,,O,
ryanair wiki,10,12,lotniska,lotnisko,B-LOC,LOC-Copernicus-Airport-Wroclaw
ryanair wiki,10,13,Strachowice,Strachowice,I-LOC,LOC-Copernicus-Airport-Wroclaw
ryanair wiki,10,14,(,,O,
ryanair wiki,10,15,WRO,WRO,B-LOC,LOC-Copernicus-Airport-Wroclaw
ryanair wiki,10,16,),,O,
ryanair wiki,10,17,do,,O,
ryanair wiki,10,18,Londynu,Londyn,B-LOC,LOC-Stansted-airport
ryanair wiki,10,19,-,-,I-LOC,LOC-Stansted-airport
ryanair wiki,10,20,Stansted,Stansted,I-LOC,LOC-Stansted-airport
ryanair wiki,10,21,(,,O,
ryanair wiki,10,22,STN,STN,B-LOC,LOC-Stansted-airport
ryanair wiki,10,23,),,O,
ryanair wiki,10,24,.,,O,
ryanair wiki,11,1,W,,O,
ryanair wiki,11,2,marcu,,O,
ryanair wiki,11,3,2012,,O,
ryanair wiki,11,4,roku,,O,
ryanair wiki,11,5,na,,O,
ryanair wiki,11,6,wrocławskim,,O,
ryanair wiki,11,7,lotnisku,,O,
ryanair wiki,11,8,Ryanair,Ryanair,B-ORG,ORG-Ryanair
ryanair wiki,11,9,zbazował,,O,
ryanair wiki,11,10,jeden,,O,
ryanair wiki,11,11,samolot,,O,
ryanair wiki,11,12,typu,,O,
ryanair wiki,11,13,Boeing,Boeing,B-PRO,PRO-Boeing-737
ryanair wiki,11,14,737-8AS,737-8AS,I-PRO,PRO-Boeing-737
ryanair wiki,11,15,.,,O,
ryanair wiki,12,1,12,,O,
ryanair wiki,12,2,grudnia,,O,
ryanair wiki,12,3,2012,,O,
ryanair wiki,12,4,Ryanair,Ryanair,B-ORG,ORG-Ryanair
ryanair wiki,12,5,ogłosił,,O,
ryanair wiki,12,6,również,,O,
ryanair wiki,12,7,uruchomienie,,O,
ryanair wiki,12,8,bazy,,O,
ryanair wiki,12,9,w,,O,
ryanair wiki,12,10,Krakowie,Kraków,B-LOC,GPE-Kraków
ryanair wiki,12,11,(,,O,
ryanair wiki,12,12,KRK,KRK,B-LOC,LOC-Cracow-Airport-Poland
ryanair wiki,12,13,),,O,
ryanair wiki,12,14,.,,O,
ryanair wiki,13,1,W,,O,
ryanair wiki,13,2,2018,,O,
ryanair wiki,13,3,roku,,O,
ryanair wiki,13,4,Ryanair,Ryanair,B-ORG,ORG-Ryanair
ryanair wiki,13,5,uruchomił,,O,
ryanair wiki,13,6,w,,O,
ryanair wiki,13,7,Polsce,Polska,B-LOC,GPE-Poland
ryanair wiki,13,8,linie,,O,
ryanair wiki,13,9,czarterowe,,O,
ryanair wiki,13,10,Ryanair,Ryanair,B-ORG,ORG-Ryanair
ryanair wiki,13,11,Sun,Sun,I-ORG,ORG-Ryanair
ryanair wiki,13,12,.,,O,
ryanair wiki,14,1,Pierwszy,,O,
ryanair wiki,14,2,lot,,O,
ryanair wiki,14,3,odbył,,O,
ryanair wiki,14,4,się,,O,
ryanair wiki,14,5,26,,O,
ryanair wiki,14,6,kwietnia,,O,
ryanair wiki,14,7,2018,,O,
ryanair wiki,14,8,",",,O,
ryanair wiki,14,9,z,,O,
ryanair wiki,14,10,Poznania,Poznań,B-LOC,GPE-Poznań
ryanair wiki,14,11,do,,O,
ryanair wiki,14,12,Zakintos,Zakintos,B-LOC,LOC-Zakynthos
ryanair wiki,14,13,.,,O,
