Sentence #,Word,POS,Tag
,Ankarana,Npmsg,loc
,tokrat,Rgp,notpropn
,uspelo,Vmep-sn,notpropn
,prepricati,Vmen,notpropn
,italijanske,Agpfpa,notpropn
,pravosodne,Agpfpa,notpropn
,oblasti,Ncfpa,notpropn
,.,Z,notpropn
Sentence: 9,V,Sl,notpropn
,bolnisnici,Ncfsl,notpropn
,bodo,Va-f3p-n,notpropn
,uvedli,Vmep-pm,notpropn
,tudi,Q,notpropn
,s,Si,notpropn
,solo,Ncfsi,notpropn
,za,Sa,notpropn
,starse,Ncmpa,notpropn
,ki,Cs,notpropn
,je,Va-r3s-n,notpropn
,namenjena,Appfsn,notpropn
,vzgoji,Ncfsd,notpropn
,in,Cc,notpropn
,izobrazevanju,Ncnsd,notpropn
,nosecnic,Ncfpg,notpropn
,in,Cc,notpropn
,njihovih,Ps3mpgp,notpropn
,partnerjev,Ncmpg,notpropn
,.,Z,notpropn
Sentence: 10,V,Sl,notpropn
,bolnisnici,Ncfsl,notpropn
,so,Va-r3p-n,notpropn
,ze,Q,notpropn
,pred,Si,notpropn
,casom,Ncmsi,notpropn
,pripravili,Vmep-pm,notpropn
,vse,Pg-nsa,notpropn
,potrebno,Agpnsa,notpropn
,za,Sa,notpropn
,negovanje,Ncnsa,notpropn
,bolnikov,Ncmpg,notpropn
,pri,Sl,notpropn
,katerih,Pq-mpl,notpropn
,je,Va-r3s-n,notpropn
,bilo,Va-p-sn,notpropn
,zdravljenje,Ncnsn,notpropn
,koncano,Appnsn,notpropn
,.,Z,notpropn
Sentence: 11,Zacetek,Ncmsn,notpropn
,izvajanja,Ncnsg,notpropn
,programa,Ncmsg,notpropn
,je,Va-r3s-n,notpropn
,odvisen,Agpmsnn,notpropn
,od,Sg,notpropn
,podpisa,Ncmsg,notpropn
,sporazuma,Ncmsg,notpropn
,z,Si,notpropn
,republiskim,Agpmsi,notpropn
,zavodom,Ncmsi,notpropn
,za,Sa,notpropn
,zdravstveno,Agpnsa,notpropn
,zavarovanje,Ncnsa,notpropn
,po,Sl,notpropn
,napovedih,Ncfpl,notpropn
,pa,Cc,notpropn
,bi,Va-c,notpropn
,se,Px------y,notpropn
,naj,Q,notpropn
,to,Pd-nsn,notpropn
,zgodilo,Vmep-sn,notpropn
,prihodnji,Agpmsay,notpropn
,mesec,Ncmsan,notpropn
,.,Z,notpropn
Sentence: 12,Zato,Cc,notpropn
,je,Va-r3s-n,notpropn
,vceraj,Rgp,notpropn
,sklicala,Vmep-sf,notpropn
,sestanek,Ncmsan,notpropn
,na,Sl,notpropn
,katerem,Pq-msl,notpropn
,so,Va-r3p-n,notpropn
,ugotavljali,Vmpp-pm,notpropn
,kako,Rgp,notpropn
,bi,Va-c,notpropn
,prisli,Vmep-pm,notpropn
,do,Sg,notpropn
,najprimernejse,Agsfsg,notpropn
,resitve,Ncfsg,notpropn
,.,Z,notpropn
Sentence: 13,Kar,Pr-nsn,notpropn
,zadeva,Vmpr3s,notpropn
,podocnjake,Ncmpa,notpropn
,je,Va-r3s-n,notpropn
,stvar,Ncfsn,notpropn
,malce,Rgp,notpropn
,bolj,Rgc,notpropn
,zapletena,Agpfsn,notpropn
,.,Z,notpropn
Sentence: 14,Lahko,Rgp,notpropn
,so,Va-r3p-n,notpropn
,posledica,Ncfsn,notpropn
,vnetja,Ncnsg,notpropn
,vek,Ncfpg,notpropn
,ki,Cs,notpropn
,je,Va-r3s-n,notpropn
,pogosto,Agpnsn,notpropn
,pri,Sl,notpropn
,ljudeh,Ncmpl,notpropn
,ki,Cs,notpropn
,trpijo,Vmpr3p,notpropn
,za,Si,notpropn
,alergijami,Ncfpi,notpropn
,lahko,Rgp,notpropn
,so,Va-r3p-n,notpropn
,posledica,Ncfsn,notpropn
,vnetja,Ncnsg,notpropn
,veznic,Ncfpg,notpropn
,dehidracije,Ncfsg,notpropn
,stresa,Ncmsg,notpropn
,preutrujenosti,Ncfsg,notpropn
Sentence: 15,Najprej,Rgs,notpropn
,je,Va-r3s-n,notpropn
,treba,Rgp,notpropn
,najti,Vmen,notpropn
,vzrok,Ncmsan,notpropn
,zaradi,Sg,notpropn
,katerega,Pq-msg,notpropn
,so,Va-r3p-n,notpropn
,se,Px------y,notpropn
,pojavili,Vmep-pm,notpropn
,.,Z,notpropn
Sentence: 16,Vcasih,Rgp,notpropn
,so,Va-r3p-n,notpropn
,podocnjaki,Ncmpn,notpropn
,tudi,Q,notpropn
,posledica,Ncfsn,notpropn
,tanke,Agpfsg,notpropn
,koze,Ncfsg,notpropn
,.,Z,notpropn
Sentence: 17,-,Z,notpropn
,Spoznajo,Vmbr3p,notpropn
,osnovne,Agpfpa,notpropn
,znacilnosti,Ncfpa,notpropn
,bolezni,Ncfsg,notpropn
,:,Z,notpropn
,kaj,Pq-nsn,notpropn
,je,Va-r3s-n,notpropn
,astma,Ncfsn,notpropn
,in,Cc,notpropn
,kako,Rgp,notpropn
,poteka,Vmpr3s,notpropn
,.,Z,notpropn
Sentence: 18,Depresivna,Agpfsn,notpropn
,motnja,Ncfsn,notpropn
,se,Px------y,notpropn
,lahko,Rgp,notpropn
,ponavlja,Vmpr3s,notpropn
,v,Sl,notpropn
,taksnih,Pd-mpl,notpropn
,primerih,Ncmpl,notpropn
,govorimo,Vmpr1p,notpropn
,o,Sl,notpropn
,ponavljajoci,Appfsl,notpropn
,se,Px------y,notpropn
,depresivni,Agpfsl,notpropn
,motnji,Ncfsl,notpropn
,ali,Cc,notpropn
,pa,Cc,notpropn
,poteka,Vmpr3s,notpropn
,kot,Cs,notpropn
,bipolarna,Agpfsn,notpropn
,motnja,Ncfsn,notpropn
,pri,Sl,notpropn
,kateri,Pq-fsl,notpropn
,se,Px------y,notpropn
,obdobja,Ncnpn,notpropn
,depresije,Ncfsg,notpropn
,izmenjavajo,Vmpr3p,notpropn
,z,Si,notpropn
,obdobji,Ncnpi,notpropn
,pretirane,Appfsg,notpropn
,veselosti,Ncfsg,notpropn
,.,Z,notpropn
Sentence: 19,Holisticni,Agpmsny,notpropn
,pristop,Ncmsn,notpropn
,k,Sd,notpropn
,zdravljenju,Ncnsd,notpropn
,ki,Cs,notpropn
,so,Va-r3p-n,notpropn
,ga,Pp3msa--y,notpropn
,zagovarjali,Vmpp-pm,notpropn
,vsi,Pg-mpn,notpropn
,predavatelji,Ncmpn,notpropn
,pomeni,Vmbr3s,notpropn
,predvsem,Q,notpropn
,ukvarjanje,Ncnsa,notpropn
,s,Si,notpropn
,sabo,Px---i,notpropn
,.,Z,notpropn
Sentence: 20,Bolnikova,Aspfsn,notpropn
,zaskrbljenost,Ncfsn,notpropn
,je,Va-r3s-n,notpropn
,pri,Sl,notpropn
,stroki,Ncfsl,notpropn
,pogosto,Rgp,notpropn
,delezna,Agpfsn,notpropn
,povrsne,Agpfsg,notpropn
,tolazbe,Ncfsg,notpropn
,ali,Cc,notpropn
,pokroviteljske,Agpfsg,notpropn
,drze,Ncfsg,notpropn
,.,Z,notpropn
Sentence: 21,Za,Sa,notpropn
,obe,Pg-fda,notpropn
,strani,Ncfda,notpropn
,pa,Cc,notpropn
,je,Va-r3s-n,notpropn
,najbolj,Rgs,notpropn
,zadovoljiva,Agpfsn,notpropn
,dvosmerna,Agpfsn,notpropn
,komunikacija,Ncfsn,notpropn
,.,Z,notpropn
Sentence: 22,Opozorila,Vmep-sf,notpropn
,je,Va-r3s-n,notpropn
,tudi,Q,notpropn
,na,Sa,notpropn
,slabo,Agpfsa,notpropn
,komunikacijo,Ncfsa,notpropn
,med,Si,notpropn
,obema,Pg-mdi,notpropn
,medicinskima,Agpmdi,notpropn
,sistemoma,Ncmdi,notpropn
,ko,Cs,notpropn
,gre,Vmbr3s,notpropn
,za,Sa,notpropn
,zdravljenje,Ncnsa,notpropn
,istega,Pi-msg,notpropn
,bolnika,Ncmsg,notpropn
,.,Z,notpropn
Sentence: 23,Pri,Sl,notpropn
,bioresonancni,Agpfsl,notpropn
,metodi,Ncfsl,notpropn
,s,Si,notpropn
,posebnimi,Agpfpi,notpropn
,elektroprevodnimi,Agpfpi,notpropn
,elektrodami,Ncfpi,notpropn
,izlocijo,Vmer3p,notpropn
,nihanja,Ncnpa,notpropn
,iz,Sg,notpropn
,obolelega,Appnsg,notpropn
,telesa,Ncnsg,notpropn
,in,Cc,notpropn
,to,Pd-fsa,notpropn
,informacijo,Ncfsa,notpropn
,po,Sl,notpropn
,elektrodnem,Agpmsl,notpropn
,kablu,Ncmsl,notpropn
,pripeljejo,Vmer3p,notpropn
,v,Sa,notpropn
,napravo,Ncfsa,notpropn
,ki,Cs,notpropn
,poljubno,Rgp,notpropn
,spreminja,Vmpr3s,notpropn
,nihanja,Ncnpa,notpropn
,.,Z,notpropn
Sentence: 24,Odvisno,Agpnsn,notpropn
,od,Sg,notpropn
,terapevtskega,Agpmsg,notpropn
,cilja,Ncmsg,notpropn
,nihanja,Ncnpn,notpropn
,informacijo,Ncfsa,notpropn
,oslabijo,Vmer3p,notpropn
,okrepijo,Vmer3p,notpropn
,ali,Cc,notpropn
,pa,Cc,notpropn
,jo,Pp3fsa--y,notpropn
,postavijo,Vmer3p,notpropn
,na,Sa,notpropn
,glavo,Ncfsa,notpropn
,(,Z,notpropn
,invertirajo,Vmbr3p,notpropn
,),Z,notpropn
,.,Z,notpropn
Sentence: 25,Tako,Rgp,notpropn
,spremenjene,Appfpa,notpropn
,informacije,Ncfpa,notpropn
,nihanja,Ncnsg,notpropn
,po,Sl,notpropn
,dovodnem,Agpmsl,notpropn
,kablu,Ncmsl,notpropn
,pripeljejo,Vmer3p,notpropn
,v,Sa,notpropn
,elektrodo,Ncfsa,notpropn
,ki,Cs,notpropn
,je,Va-r3s-n,notpropn
,navadno,Rgp,notpropn
,namescena,Appfsn,notpropn
,na,Sl,notpropn
,bolnikovem,Aspmsl,notpropn
,hrbtu,Ncmsl,notpropn
,tako,Rgp,notpropn
,da,Cs,notpropn
,na,Sl,notpropn
,njej,Pp3fsl,notpropn
,lezi,Vmpr3s,notpropn
,.,Z,notpropn
Sentence: 26,Telo,Ncnsn,notpropn
,sprejme,Vmer3s,notpropn
,',Z,notpropn
,drazljaj,Ncmsan,notpropn
,',Z,notpropn
,in,Cc,notpropn
,pride,Vmer3s,notpropn
,v,Sa,notpropn
,resonanco,Ncfsa,notpropn
,s,Si,notpropn
,terapevtskim,Agpnsi,notpropn
,nihanjem,Ncnsi,notpropn
,.,Z,notpropn
Sentence: 27,Naprava,Ncfsn,notpropn
,BICOM,Npmsn,misc
,je,Va-r3s-n,notpropn
,torej,Rgp,notpropn
,nekaksna,Pi-fsn,notpropn
,zbirka,Ncfsn,notpropn
,impulzov,Ncmpg,notpropn
,oblikovanih,Appmpg,notpropn
,v,Sa,notpropn
,zdravilne,Agpmpa,notpropn
,programe,Ncmpa,notpropn
,ki,Cs,notpropn
,pospesujejo,Vmpr3p,notpropn
,zdravljenje,Ncnsa,notpropn
,in,Cc,notpropn
,normalizacijo,Ncfsa,notpropn
,presnovnih,Agpmpg,notpropn
,procesov,Ncmpg,notpropn
,v,Sl,notpropn
,telesu,Ncnsl,notpropn
,toda,Cc,notpropn
,na,Sl,notpropn
,koncu,Ncmsl,notpropn
,je,Va-r3s-n,notpropn
,vseeno,Rgp,notpropn
,od,Sg,notpropn
,cloveka,Ncmsg,notpropn
,ki,Cs,notpropn
,upravlja,Vmpr3s,notpropn
,z,Si,notpropn
,aparatom,Ncmsi,notpropn
,in,Cc,notpropn
,od,Sg,notpropn
,njegovih,Ps3fpgsm,notpropn
,izkusenj,Ncfpg,notpropn
,odvisno,Agpnsn,notpropn
,ali,Rgp,notpropn
,bo,Va-f3s-n,notpropn
,pravilno,Rgp,notpropn
,postavil,Vmep-sm,notpropn
,diagnozo,Ncfsa,notpropn
,in,Cc,notpropn
,izbral,Vmep-sm,notpropn
,pravi,Agpmsay,notpropn
,program,Ncmsan,notpropn
,za,Sa,notpropn
,bolnika,Ncmsay,notpropn
,.,Z,notpropn
Sentence: 28,Obmocje,Ncnsn,notpropn
,medenice,Ncfsg,notpropn
,je,Va-r3s-n,notpropn
,sredisce,Ncnsn,notpropn
,telesa,Ncnsg,notpropn
,glavna,Agpfsn,notpropn
,pec,Ncfsn,notpropn
,ki,Cs,notpropn
,greje,Vmpr3s,notpropn
,in,Cc,notpropn
,uravnava,Vmpr3s,notpropn
,vse,Pg-nsa,notpropn
,telo,Ncnsa,notpropn
,zato,Cc,notpropn
,bi,Va-c,notpropn
,moralo,Vmpp-sn,notpropn
,biti,Va-n,notpropn
,vedno,Rgp,notpropn
,toplo,Agpnsn,notpropn
,.,Z,notpropn
Sentence: 29,Pri,Sl,notpropn
,menstruacijskih,Agpfpl,notpropn
,bolecinah,Ncfpl,notpropn
,pogosto,Rgp,notpropn
,zaleze,Vmbr3s,notpropn
,ce,Cs,notpropn
,zenska,Ncfsn,notpropn
,na,Sa,notpropn
,medenico,Ncfsa,notpropn
,polozi,Vmer3s,notpropn
,topel,Agpmsan,notpropn
,termofor,Ncmsan,notpropn
,popije,Vmer3s,notpropn
,vroc,Agpmsan,notpropn
,ognjicev,Aspmsan,notpropn
,caj,Ncmsan,notpropn
,se,Px------y,notpropn
,sprosti,Vmer3s,notpropn
,ali,Cc,notpropn
,zaspi,Vmer3s,notpropn
,.,Z,notpropn
Sentence: 30,Dolgorocno,Rgp,notpropn
,gledano,Rgp,notpropn
,ne,Q,notpropn
,bo,Va-f3s-n,notpropn
,noben,Pz-msn,notpropn
,analgetik,Ncmsn,notpropn
,odpravil,Vmep-sm,notpropn
,vozlickov,Ncmpg,notpropn
,zaprtja,Ncnsg,notpropn
,in,Cc,notpropn
,blokade,Ncfsg,notpropn
,tega,Pd-nsg,notpropn
,obmocja,Ncnsg,notpropn
,.,Z,notpropn
Sentence: 31,Najti,Vmen,notpropn
,bo,Va-f3s-n,notpropn
,treba,Rgp,notpropn
,nacin,Ncmsan,notpropn
,da,Cs,notpropn
,se,Px------y,notpropn
,uravnovesite,Vmer2p,notpropn
,in,Cc,notpropn
,ohranjate,Vmpr2p,notpropn
,svojo,Px-fsa,notpropn
,zensko,Agpfsa,notpropn
,naravo,Ncfsa,notpropn
,ki,Cs,notpropn
,je,Va-r3s-n,notpropn
,sprejemanje,Ncnsn,notpropn
,neznost,Ncfsn,notpropn
,in,Cc,notpropn
,sproscenost,Ncfsn,notpropn
,.,Z,notpropn
Sentence: 32,Za,Sa,notpropn
,zacetek,Ncmsan,notpropn
,je,Va-r3s-n,notpropn
,najbolje,Rgs,notpropn
,da,Cs,notpropn
,ugotovite,Vmer2p,notpropn
,ali,Rgp,notpropn
,vas,Ps2msnp,notpropn
,dih,Ncmsn,notpropn
,seze,Vmer3s,notpropn
,do,Sg,notpropn
,spolnih,Agpmpg,notpropn
,organov,Ncmpg,notpropn
,.,Z,notpropn
Sentence: 33,Ce,Cs,notpropn
,ne,Q,notpropn
,polozite,Vmem2p,notpropn
,tople,Agpfpa,notpropn
,roke,Ncfpa,notpropn
,na,Sa,notpropn
,spodnji,Agpmsay,notpropn
,del,Ncmsan,notpropn
,trebuha,Ncmsg,notpropn
,(,Z,notpropn
,spolni,Agpmsny,notpropn
,center,Ncmsn,notpropn
,),Z,notpropn
,in,Cc,notpropn
,dihajte,Vmpm2p,notpropn
,vanj,Pp3msa--b,notpropn
,.,Z,notpropn
Sentence: 34,Smehljajte,Vmpm2p,notpropn
,se,Px------y,notpropn
,v,Sa,notpropn
,svoje,Px-nsa,notpropn
,sredisce,Ncnsa,notpropn
,in,Cc,notpropn
,segrevajte,Vmpm2p,notpropn
,to,Pd-nsa,notpropn
,pomembno,Agpnsa,notpropn
,obmocje,Ncnsa,notpropn
,.,Z,notpropn
Sentence: 35,Segrejte,Vmem2p,notpropn
,svojo,Px-fsa,notpropn
,pec,Ncfsa,notpropn
,da,Cs,notpropn
,vam,Pp2-pd,notpropn
,bo,Va-f3s-n,notpropn
,toplo,Rgp,notpropn
,in,Cc,notpropn
,da,Cs,notpropn
,boste,Va-f2p-n,notpropn
,v,Sl,notpropn
,sebi,Px---l,notpropn
,znova,Rgp,notpropn
,zacutile,Vmep-pf,notpropn
,zivljenje,Ncnsa,notpropn
,!,Z,notpropn
Sentence: 36,V,Sa,notpropn
,komolcni,Agpmsay,notpropn
,sklep,Ncmsan,notpropn
,prihaja,Vmpr3s,notpropn
,z,Sg,notpropn
,zgornjega,Agpmsg,notpropn
,dela,Ncmsg,notpropn
,nadlahtnica,Ncfsn,notpropn
,s,Sg,notpropn
,spodnje,Agpfsg,notpropn
,strani,Ncfsg,notpropn
,pa,Cc,notpropn
,kozeljnica,Ncfsn,notpropn
,in,Cc,notpropn
,podlahtnica,Ncfsn,notpropn
,.,Z,notpropn
Sentence: 37,Stik,Ncmsn,notpropn
,teh,Pd-fpg,notpropn
,treh,Mlcfpg,notpropn
,kosti,Ncfpg,notpropn
,omogoca,Vmpr3s,notpropn
,stevilne,Agpmpa,notpropn
,gibe,Ncmpa,notpropn
,krcenje,Ncnsa,notpropn
,iztezanje,Ncnsa,notpropn
,in,Cc,notpropn
,obracanje,Ncnsa,notpropn
,podlahti,Ncfsg,notpropn
,navzdol,Rgp,notpropn
,in,Cc,notpropn
,navzgor,Rgp,notpropn
,.,Z,notpropn
Sentence: 38,Nemoteno,Agpnsa,notpropn
,delovanje,Ncnsa,notpropn
,zagotavljajo,Vmpr3p,notpropn
,obsklepne,Agpfpn,notpropn
,vezi,Ncfpn,notpropn
,in,Cc,notpropn
,sklepna,Agpfsn,notpropn
,ovojnica,Ncfsn,notpropn
,ter,Cc,notpropn
,normalno,Rgp,notpropn
,delujoce,Appfpn,notpropn
,misice,Ncfpn,notpropn
,ki,Cs,notpropn
,se,Px------y,notpropn
,pritrjajo,Vmpr3p,notpropn
,okrog,Sg,notpropn
,sklepa,Ncmsg,notpropn
,.,Z,notpropn
Sentence: 39,Obenem,Rgp,notpropn
,je,Va-r3s-n,notpropn
,treba,Rgp,notpropn
,poudariti,Vmen,notpropn
,da,Cs,notpropn
,imajo,Vmpr3p-n,notpropn
,tudi,Q,notpropn
,ortoze,Ncfpn,notpropn
,dve,Mlcfda,notpropn
,plati,Ncfda,notpropn
,:,Z,notpropn
,soncno,Agpfsa,notpropn
,ce,Cs,notpropn
,je,Va-r3s-n,notpropn
,izbrana,Appfsn,notpropn
,ortoza,Ncfsn,notpropn
,prava,Agpfsn,notpropn
,in,Cc,notpropn
,ustrezna,Agpfsn,notpropn
,in,Cc,notpropn
,sencno,Agpfsa,notpropn
,ce,Cs,notpropn
,je,Va-r3s-n,notpropn
,ortoza,Ncfsn,notpropn
,izbrana,Appfsn,notpropn
,nepravilno,Rgp,notpropn
,slabo,Rgp,notpropn
,prilagojena,Appfsn,notpropn
,in,Cc,notpropn
,neustrezno,Rgp,notpropn
,uporabljana,Appfsn,notpropn
,.,Z,notpropn
Sentence: 40,V,Sl,notpropn
,taksnem,Pd-msl,notpropn
,primeru,Ncmsl,notpropn
,se,Px------y,notpropn
,lahko,Rgp,notpropn
,bolnikovo,Aspnsn,notpropn
,stanje,Ncnsn,notpropn
,celo,Q,notpropn
,poslabsa,Vmer3s,notpropn
,.,Z,notpropn
Sentence: 41,Mangan,Ncmsn,notpropn
,zaradi,Sg,notpropn
,omejenih,Appmpg,notpropn
,dostopnih,Agpmpg,notpropn
,podatkov,Ncmpg,notpropn
,ni,Va-r3s-y,notpropn
,priporocene,Appfsg,notpropn
,zgornje,Agpfsg,notpropn
,mejne,Agpfsg,notpropn
,vrednosti,Ncfsg,notpropn
,.,Z,notpropn
Sentence: 42,Osrednji,Agpmsny,notpropn
,prostor,Ncmsn,notpropn
,namenjen,Appmsnn,notpropn
,kegljanju,Ncnsd,notpropn
,za,Sa,notpropn
,malo,Rgp,notpropn
,denarja,Ncmsg,notpropn
,ponuja,Vmpr3s,notpropn
,sprosceno,Appfsa,notpropn
,zabavo,Ncfsa,notpropn
,za,Sa,notpropn
,vso,Pg-fsa,notpropn
,druzino,Ncfsa,notpropn
,ljubiteljem,Ncmpd,notpropn
,te,Pd-fsg,notpropn
,igre,Ncfsg,notpropn
,pravo,Agpfsa,notpropn
,moznost,Ncfsa,notpropn
,za,Sa,notpropn
,rekreacijo,Ncfsa,notpropn
,zaradi,Sg,notpropn
,velikosti,Ncfsg,notpropn
,najsodobnejse,Rgs,notpropn
,opremljenega,Appnsg,notpropn
,racunalnisko,Rgp,notpropn
,vodenega,Agpnsg,notpropn
,16,Mdc,notpropn
,-,Z,notpropn
,steznega,Agpnsg,notpropn
,igrisca,Ncnsg,notpropn
,pa,Cc,notpropn
,tudi,Q,notpropn
,vadbo,Ncfsa,notpropn
,in,Cc,notpropn
,vrhunska,Agpnpa,notpropn
,tekmovanja,Ncnpa,notpropn
,za,Sa,notpropn
,profesionalce,Ncmpa,notpropn
,.,Z,notpropn
Sentence: 43,Po,Sl,notpropn
,besedah,Ncfpl,notpropn
,Dermeljeve,Aspfsg,per
,obstajajo,Vmpr3p,notpropn
,boljse,Agcfpn,notpropn
,in,Cc,notpropn
,okoljsko,Rgp,notpropn
,sprejemljivejse,Agcfpn,notpropn
,moznosti,Ncfpn,notpropn
,kot,Cs,notpropn
,je,Va-r3s-n,notpropn
,uporaba,Ncfsn,notpropn
,gensko,Rgp,notpropn
,spremenjenih,Appmpg,notpropn
,organizmov,Ncmpg,notpropn
,.,Z,notpropn
Sentence: 44,',Z,notpropn
,Menimo,Vmpr1p,notpropn
,da,Cs,notpropn
,uporaba,Ncfsn,notpropn
,GSO,Ncmpg,notpropn
,v,Sl,notpropn
,kmetijstvu,Ncnsl,notpropn
,ogroza,Vmpr3s,notpropn
,ekonomski,Agpmsay,notpropn
,obstoj,Ncmsan,notpropn
,konvencionalnih,Agpmpg,notpropn
,in,Cc,notpropn
,ekoloskih,Agpmpg,notpropn
,kmetov,Ncmpg,notpropn
,poleg,Sg,notpropn
,tega,Pd-nsg,notpropn
,nihce,Pz-msn,notpropn
,ne,Q,notpropn
,ve,Vmpr3s,notpropn
,kako,Rgp,notpropn
,bo,Va-f3s-n,notpropn
,njihova,Ps3fsnp,notpropn
,uporaba,Ncfsn,notpropn
,dolgorocno,Rgp,notpropn
,vplivala,Vmpp-sf,notpropn
,na,Sa,notpropn
,okolje,Ncnsa,notpropn
,in,Cc,notpropn
,zdravje,Ncnsa,notpropn
,ljudi,Ncmpg,notpropn
,.,Z,notpropn
,',Z,notpropn
Sentence: 45,Kljub,Sd,notpropn
,tradiciji,Ncfsd,notpropn
,so,Va-r3p-n,notpropn
,bili,Va-p-pm,notpropn
,tokrat,Rgp,notpropn
,organizatorji,Ncmpn,notpropn
,prisiljeni,Appmpn,notpropn
,izvesti,Vmen,notpropn
,nekatere,Pi-fpa,notpropn
,spremembe,Ncfpa,notpropn
,.,Z,notpropn
Sentence: 46,Tako,Rgp,notpropn
,sta,Va-r3d-n,notpropn
,bili,Va-p-df,notpropn
,dirka,Ncfsn,notpropn
,in,Cc,notpropn
,poroka,Ncfsn,notpropn
,istega,Pi-msg,notpropn
,dne,Ncmsg,notpropn
,.,Z,notpropn
Sentence: 47,Nastale,Appfpn,notpropn
,spremembe,Ncfpn,notpropn
,so,Va-r3p-n,notpropn
,povzrocile,Vmep-pf,notpropn
,nevsecnosti,Ncfpa,notpropn
,na,Sl,notpropn
,televiziji,Ncfsl,notpropn
,BBC,Npmsn,org
,kjer,Cs,notpropn
,so,Va-r3p-n,notpropn
,le,Q,notpropn
,s,Si,notpropn
,tezavo,Ncfsi,notpropn
,uskladili,Vmep-pm,notpropn
,prenos,Ncmsan,notpropn
,vseh,Pg-mpg,notpropn
,pomembnih,Agpmpg,notpropn
,dogodkov,Ncmpg,notpropn
,.,Z,notpropn
Sentence: 48,Poroka,Ncfsn,notpropn
,je,Va-r3s-n,notpropn
,potekala,Vmpp-sf,notpropn
,brez,Sg,notpropn
,zamude,Ncfsg,notpropn
,okoli,Sg,notpropn
,poldneva,Ncmsg,notpropn
,dirko,Ncfsa,notpropn
,pa,Cc,notpropn
,so,Va-r3p-n,notpropn
,prestavili,Vmep-pm,notpropn
,za,Sa,notpropn
,dvajset,Mlc-pa,notpropn
,minut,Ncfpg,notpropn
,.,Z,notpropn
Sentence: 49,ALOE,Ncfsg,notpropn
