docId,sentenceId,tokenId,text,lemma,calcLemma,upos,xpos,ner,clID
bg-16,3,37,Пакистан,Пакистан,пакистан,Npmsi,PROPN,I-ORG,ORG-Supreme-Court-of-Pakistan
bg-16,3,38,.,,.,punct,PUNCT,O,
bg-16,4,1,ЕС,ЕС,ес,Npmsi,PROPN,B-ORG,ORG-European-Union
bg-16,4,2,призова,,призова,Vpptf-o3s,VERB,O,
bg-16,4,3,преди,,преди,R,ADP,O,
bg-16,4,4,дни,,ден,Ncmpi,NOUN,O,
bg-16,5,1,Исламабад,Исламабад,исламабад,Npmsi,PROPN,B-LOC,GPE-Islamabad
bg-16,5,2,да,,да,Tx,AUX,O,
bg-16,5,3,осигури,,осигуря,Vpptf-r3s,VERB,O,
bg-16,5,4,спазването,,спазване,Ncnsd,NOUN,O,
bg-16,5,5,на,,на,R,ADP,O,
bg-16,5,6,човешките,,човешки,A-pd,ADJ,O,
bg-16,5,7,права,,право,Ncnpi,NOUN,O,
bg-16,5,8,на,,на,R,ADP,O,
bg-16,5,9,всички,,всеки,Pce-op,DET,O,
bg-16,5,10,пакистанци,Пакистан,пакистанец,Ncmpi,NOUN,B-LOC,GPE-Pakistan
bg-16,5,11,според,,според,R,ADP,O,
bg-16,5,12,подписаните,,подпиша-(се),Vpptcv--p-d,ADJ,O,
bg-16,5,13,международни,,международен,A-pi,ADJ,O,
bg-16,5,14,спогодби,,спогодба,Ncfpi,NOUN,O,
bg-16,5,15,",",,",",punct,PUNCT,O,
bg-16,5,16,припомня,,припомням-(си),Vpitf-r3s,VERB,O,
bg-16,5,17,БТА,БТА,бта,Npfsi,PROPN,B-ORG,ORG-Bulgarian-News-Agency
bg-16,5,18,.,,.,punct,PUNCT,O,
bg-16,6,1,По-рано,,рано,Dt,ADV,O,
bg-16,6,2,днес,,днес,Dt,ADV,O,
bg-16,6,3,министърът,,министър,Ncmsf,NOUN,O,
bg-16,6,4,на,,на,R,ADP,O,
bg-16,6,5,външните,,външен,A-pd,ADJ,O,
bg-16,6,6,работи,,работа,Ncfpi,NOUN,O,
bg-16,6,7,на,,на,R,ADP,O,
bg-16,6,8,Белгия,Белгия,белгия,Npfsi,PROPN,B-LOC,GPE-Belgium
bg-16,6,9,Дидие,Дидие,дидие,Npmsi,PROPN,B-PER,PER-Didier-Reynders
bg-16,6,10,Рейндерс,Рейндерс,рейндерс,Hmsi,PROPN,I-PER,PER-Didier-Reynders
bg-16,6,11,подкрепи,,подкрепя,Vpptf-o3s,VERB,O,
bg-16,6,12,предложението,,предложение,Ncnsd,NOUN,O,
bg-16,6,13,на,,на,R,ADP,O,
bg-16,6,14,водещата,,водя,Vpitcar-sfd,ADJ,O,
bg-16,6,15,белгийска,,белгийски,Afsi,ADJ,O,
bg-16,6,16,партия,,партия,Ncfsi,NOUN,O,
bg-16,7,1,Нов,Нов,нов,Amsi,ADJ,B-ORG,ORG-New-Flemish-Alliance
bg-16,7,2,фламандски,фламандски,фламандски,Amsi,ADJ,I-ORG,ORG-New-Flemish-Alliance
bg-16,7,3,алианс,алианс,алианс,Ncmsi,NOUN,I-ORG,ORG-New-Flemish-Alliance
bg-16,7,4,на,,на,R,ADP,O,
bg-16,7,5,осъдената,,осъдя,Vpptcv--sfd,ADJ,O,
bg-16,7,6,и,,и,Cp,CCONJ,O,
bg-16,7,7,съпруга,,съпруга,Ncfsh,NOUN,O,
bg-16,7,8,й,,неин,Psot--3--f,PRON,O,
bg-16,7,9,да,,да,Tx,AUX,O,
bg-16,7,10,бъде,,бъда,Vyptf-r3s,AUX,O,
bg-16,7,11,предоставено,,предоставя,Vpptcv--sni,VERB,O,
bg-16,7,12,убежище,,убежище,Ncnsi,NOUN,O,
bg-16,7,13,.,,.,punct,PUNCT,O,
bg-16,8,1,Съпругът,,съпруг,Ncmsf,NOUN,O,
bg-16,8,2,на,,на,R,ADP,O,
bg-16,8,3,Биби,Биби,биби,Hfsi,PROPN,B-PER,PER-Asia-Bibi
bg-16,8,4,поиска,,поискам,Vpptf-o3s,VERB,O,
bg-16,8,5,вече,,вече,Dt,ADV,O,
bg-16,8,6,убежище,,убежище,Ncnsi,NOUN,O,
bg-16,8,7,в,,в,R,ADP,O,
bg-16,8,8,САЩ,САЩ,сащ,Npmpi,PROPN,B-LOC,GPE-USA
bg-16,8,9,",",,",",punct,PUNCT,O,
bg-16,8,10,Великобритания,Великобритания,великобритания,Npfsi,PROPN,B-LOC,GPE-Great-Britain
bg-16,8,11,или,,или,Cp,CCONJ,O,
bg-16,8,12,Канада,Канада,канада,Npfsi,PROPN,B-LOC,GPE-Canada
bg-16,8,13,заради,,заради,R,ADP,O,
bg-16,8,14,отправени,,отправя-(се),Vpptcv--p-i,ADJ,O,
bg-16,8,15,смъртни,,смъртен,A-pi,ADJ,O,
bg-16,8,16,заплахи,,заплаха,Ncfpi,NOUN,O,
bg-16,8,17,.,,.,punct,PUNCT,O,
